modelName,param,storyName,clipt,clipi,accs
StoryAdapter,id-1,ba_luoi_riu,0.3383601262019231,0.8395808293269231,0.648681640625
StoryAdapter,id-1,cau_be_thong_minh,0.2820957728794643,0.71005859375,0.17279052734375
StoryAdapter,id-1,cau_be_tich_chu,0.3299560546875,0.8275824652777778,0.5232747395833334
StoryAdapter,id-1,cay_huyet_du,0.2508212002840909,0.8039202008928571,0.35164388020833337
StoryAdapter,id-1,cay_khe,0.30042221966911764,0.7674153645833334,0.43218994140625
StoryAdapter,id-1,cay_tre_tram_dot,0.264495849609375,0.6573428199404762,0.3416278545673077
StoryAdapter,id-1,chim_da_da,0.2928688742897727,0.7482192095588235,0.41017578125
StoryAdapter,id-1,chim_hit_co,0.26727701822916666,0.76611328125,0.1573974609375
StoryAdapter,id-1,chim_nam_trau_sau_cot_va_chim_bat_co_troi_cot,0.30325753348214285,0.7159329927884616,0.3331570095486111
StoryAdapter,id-1,chim_quoc,0.2567206488715278,0.7546630859375,0.4533203125
StoryAdapter,id-1,chim_tu_hu,0.2601740910456731,0.8107561383928571,0.3934899640594542
StoryAdapter,id-1,coc_kien_troi,0.29966138756793476,0.75323486328125,0.3622349330357143
StoryAdapter,id-1,con_rong_chau_tien,0.290185546875,0.775146484375,0.1848659939236111
StoryAdapter,id-1,da_trang,0.2872708228326613,0.8013640372983871,0.09020802331349205
StoryAdapter,id-1,ho_guom,0.28737095424107145,0.7521750710227273,0.2747105189732143
StoryAdapter,id-1,mai_an_tiem,0.3139990234375,0.6986355251736112,0.31117261357668063
StoryAdapter,id-1,son_tinh_thuy_tinh,0.2570461697048611,0.6103901110197368,0.273345947265625
StoryAdapter,id-1,so_dua,0.2703770228794643,0.71005859375,0.3234130859375
StoryAdapter,id-1,tam_cam,0.2707304113051471,0.7936604817708334,0.2978751369254299
StoryAdapter,id-1,thach_sanh,0.2964390345982143,0.7858442826704546,0.18314073350694443
StoryAdapter,id-1,thanh_giong,0.2503865559895833,0.7369140625,0.3230745442708333
StoryAdapter,id-1,trai_sau_rieng,0.3231254245923913,0.8041294642857143,0.204193115234375
StoryAdapter,id-1,trau_cau,0.24847412109375,0.7546735491071429,0.22563920454545452
StoryAdapter,id10,ba_luoi_riu,0.3374586838942308,0.8389798677884616,0.6501116071428572
StoryAdapter,id10,cau_be_thong_minh,0.2840488978794643,0.71298828125,0.1708831787109375
StoryAdapter,id10,cau_be_tich_chu,0.3300984700520833,0.8276909722222222,0.5252888997395834
StoryAdapter,id10,cay_huyet_du,0.2508212002840909,0.8039202008928571,0.35164388020833337
StoryAdapter,id10,cay_khe,0.30843577665441174,0.7613118489583334,0.433837890625
StoryAdapter,id10,cay_tre_tram_dot,0.263323974609375,0.6565057663690477,0.3409642928685897
StoryAdapter,id10,chim_da_da,0.2940396395596591,0.7395450367647058,0.4089192708333333
StoryAdapter,id10,chim_hit_co,0.2704833984375,0.7666364397321429,0.16180419921875
StoryAdapter,id10,chim_nam_trau_sau_cot_va_chim_bat_co_troi_cot,0.3031005859375,0.716796875,0.3298916286892361
StoryAdapter,id10,chim_quoc,0.2597520616319444,0.75634765625,0.4583657400948661
StoryAdapter,id10,chim_tu_hu,0.2577326847956731,0.8085763113839286,0.3953179253472222
StoryAdapter,id10,coc_kien_troi,0.30043626868206524,0.75811767578125,0.36193944537450395
StoryAdapter,id10,con_rong_chau_tien,0.288043212890625,0.7742919921875,0.15131022135416666
StoryAdapter,id10,da_trang,0.2874952746975806,0.7963237147177419,0.09226481119791667
StoryAdapter,id10,ho_guom,0.29045177641369047,0.7584339488636364,0.26664225260416663
StoryAdapter,id10,mai_an_tiem,0.3036279296875,0.6933186848958334,0.3189398928516719
StoryAdapter,id10,son_tinh_thuy_tinh,0.2559068467881944,0.6111096833881579,0.2275390625
StoryAdapter,id10,so_dua,0.27805001395089285,0.702197265625,0.3218994140625
